"Property Name",,"cs","Node Path","Description"
"VersionFormat","Version {0}.{1}.{2}","Verze {0}.{1}.{2}","Application",
"ProtectedContentText","Protected Content","Chráněný obsah","Application",
"Caption","Log On","Přihlásit","ActionDesign\Actions\Logon",
"Caption","Actions Info","Actions Info","ActionDesign\Actions\Diagnostic Info.Actions Info\ChoiceActionItems\Actions Info",
"Caption","Create Dashboard","Vytvořit řídící panel","ActionDesign\Actions\CreateDashboard",
"Caption","Organize Dashboard","Uspořádat řídící panel","ActionDesign\Actions\OrganizeDashboard",
"Caption","Delete Item","Odstranit položku","ActionDesign\Actions\Delete Item",
"ConfirmationMessage","You are about to delete the selected item(s). Do you want to proceed?","Chystáte se smazat tyto vybrané položky. Chcete pokračovat?","ActionDesign\Actions\Delete Item",
"Caption","Hide from dashboard","Skrýt v řídícím panelu","ActionDesign\Actions\HideItemsFromDashboard",
"ToolTip","Hide selected item(s) from dashboard","Skrýt vybrané položky v řídícím panelu","ActionDesign\Actions\HideItemsFromDashboard",
"Caption","Show on dashboard","Zobrazit v řídícím panelu","ActionDesign\Actions\ShowItemsOnDashboard",
"ToolTip","Show selected item(s) on dashboard","Zobrazit vybrané položky v řídícím panelu","ActionDesign\Actions\ShowItemsOnDashboard",
"Caption","Delete","Odstranit","ActionDesign\Actions\Delete",
"ConfirmationMessage","You are about to delete the selected record(s). Do you want to proceed?","Chystáte se smazat tyto vybrané záznamy. Chcete pokračovat?","ActionDesign\Actions\Delete",
"Caption","Save","Uložit","ActionDesign\Actions\Save",
"Caption","Save and Close","Uložit & Zavřít","ActionDesign\Actions\SaveAndClose",
"Caption","Save and New","Uložit & Nový","ActionDesign\Actions\SaveAndNew",
"Caption","Cancel","Zrušit","ActionDesign\Actions\Cancel",
"Caption","Diagnostic","Diagnostika","ActionDesign\Actions\Diagnostic Info",
"Caption","OK","OK","ActionDesign\Actions\DialogOK",
"Caption","Cancel","Zrušit","ActionDesign\Actions\DialogCancel",
"Caption","Filter by Text","Filtr podle textu","ActionDesign\Actions\FullTextSearch",
"ShortCaption","Search","Search","ActionDesign\Actions\FullTextSearch",
"NullValuePrompt","Text to search...","Text to search...","ActionDesign\Actions\FullTextSearch",
"ToolTip","Filter records by text","Filtr objektů podle textu","ActionDesign\Actions\FullTextSearch",
"Caption","Filter","Filtr","ActionDesign\Actions\SetFilter",
"Caption","Unlink","Zrušit odkaz","ActionDesign\Actions\Unlink",
"ConfirmationMessage","You are about to unlink the selected record(s). Do you want to proceed?","Chystáte se zrušit odkaz vybraných záznamů. Chcete pokračovat?","ActionDesign\Actions\Unlink",
"Caption","Link","Odkaz","ActionDesign\Actions\Link",
"Caption","Open","Otevřít","ActionDesign\Actions\ListViewShowObject",
"Caption","Log Off","Odhlásit","ActionDesign\Actions\Logoff",
"Caption","New","Nový","ActionDesign\Actions\New",
"Caption","The edited object is new.","Modifikovaný objekt je nový.","ActionDesign\Actions\New\DisableReasons\MasterObjectIsNew",
"Caption","Previous Record","Předchozí objekt","ActionDesign\Actions\PreviousObject",
"Caption","Next Record","Další objekt","ActionDesign\Actions\NextObject",
"Caption","Refresh","Aktualizovat","ActionDesign\Actions\Refresh",
"Caption","Navigation","Navigace","ActionDesign\Actions\ShowNavigationItem",
"Caption","View Info","View Info","ActionDesign\Actions\Diagnostic Info.View Info\ChoiceActionItems\View Info",
"Caption","Back","Zpět","ActionDesign\Actions\NavigateBack",
"ToolTip","Navigate to the previous view","Přejít na předchozí náhled","ActionDesign\Actions\NavigateBack",
"Caption","Forward","Dopředu","ActionDesign\Actions\NavigateForward",
"ToolTip","Navigate to the next view","Přejít na další náhled","ActionDesign\Actions\NavigateForward",
"Caption","Requires at least one object selected","Je požadován nejméně jeden vybraný objekt","ActionDesign\DisableReasons\ByContext_RequireMultipleObjects",
"Caption","Requires a single object selected","Je požadován jeden vybraný objekt","ActionDesign\DisableReasons\ByContext_RequireSingleObject",
"Caption","Permission denied","Přístup zamítnut","ActionDesign\DisableReasons\Security",
"Caption","Criteria Provider","Poskytovatel kritérií","BOModel\DevExpress.ExpressApp.Editors.CriteriaProvider",
"Caption","Filtered Objects Type","Typ filtrovaných objektů","BOModel\DevExpress.ExpressApp.Editors.CriteriaProvider\OwnMembers\FilteredObjectsType",
"Caption","Filter String","Řetězec filtru","BOModel\DevExpress.ExpressApp.Editors.CriteriaProvider\OwnMembers\FilterString",
"Caption","About Info","Informace o programu","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo",
"Caption","Product Name","Název produktu","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo\OwnMembers\ProductName",
"Caption","Version","Verze","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo\OwnMembers\Version",
"Caption","Copyright","Copyright","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo\OwnMembers\Copyright",
"Caption","Company","Společnost","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo\OwnMembers\Company",
"Caption","Logo Image Name","Název obrázku loga","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo\OwnMembers\LogoImageName",
"Caption","Description","Popis","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo\OwnMembers\Description",
"Caption","Action Container","Kontejner akce","BOModel\DevExpress.ExpressApp.SystemModule.ActionContainerDashboardOrganizationItem",
"Caption","Action Container","Kontejner akce","BOModel\DevExpress.ExpressApp.SystemModule.ActionContainerDashboardOrganizationItem\OwnMembers\ActionContainer",
