"Property Name",,"en","Node Path","Description"
"VersionFormat","Version {0}.{1}.{2}","Version {0}.{1}.{2}","Application",
"ProtectedContentText","Protected Content","Protected Content","Application",
"Caption","Log On","Log On","ActionDesign\Actions\Logon",
"Caption","Actions Info","Actions Info","ActionDesign\Actions\Diagnostic Info.Actions Info\ChoiceActionItems\Actions Info",
"Caption","Create Dashboard","Create Dashboard","ActionDesign\Actions\CreateDashboard",
"Caption","Organize Dashboard","Organize Dashboard","ActionDesign\Actions\OrganizeDashboard",
"Caption","Delete Item","Delete Item","ActionDesign\Actions\Delete Item",
"ConfirmationMessage","You are about to delete the selected item(s). Do you want to proceed?","You are about to delete the selected item(s). Do you want to proceed?","ActionDesign\Actions\Delete Item",
"Caption","Hide from dashboard","Hide from dashboard","ActionDesign\Actions\HideItemsFromDashboard",
"ToolTip","Hide selected item(s) from dashboard","Hide selected item(s) from dashboard","ActionDesign\Actions\HideItemsFromDashboard",
"Caption","Show on dashboard","Show on dashboard","ActionDesign\Actions\ShowItemsOnDashboard",
"ToolTip","Show selected item(s) on dashboard","Show selected item(s) on dashboard","ActionDesign\Actions\ShowItemsOnDashboard",
"Caption","Delete","Delete","ActionDesign\Actions\Delete",
"ConfirmationMessage","You are about to delete the selected record(s). Do you want to proceed?","You are about to delete the selected record(s). Do you want to proceed?","ActionDesign\Actions\Delete",
"Caption","Save","Save","ActionDesign\Actions\Save",
"Caption","Save and Close","Save and Close","ActionDesign\Actions\SaveAndClose",
"Caption","Save and New","Save and New","ActionDesign\Actions\SaveAndNew",
"Caption","Cancel","Cancel","ActionDesign\Actions\Cancel",
"Caption","Diagnostic","Diagnostic","ActionDesign\Actions\Diagnostic Info",
"Caption","OK","OK","ActionDesign\Actions\DialogOK",
"Caption","Cancel","Cancel","ActionDesign\Actions\DialogCancel",
"Caption","Filter by Text","Filter by Text","ActionDesign\Actions\FullTextSearch",
"ShortCaption","Search","Search","ActionDesign\Actions\FullTextSearch",
"NullValuePrompt","Text to search...","Text to search...","ActionDesign\Actions\FullTextSearch",
"ToolTip","Filter records by text","Filter records by text","ActionDesign\Actions\FullTextSearch",
"Caption","Filter","Filter","ActionDesign\Actions\SetFilter",
"Caption","Unlink","Unlink","ActionDesign\Actions\Unlink",
"ConfirmationMessage","You are about to unlink the selected record(s). Do you want to proceed?","You are about to unlink the selected record(s). Do you want to proceed?","ActionDesign\Actions\Unlink",
"Caption","Link","Link","ActionDesign\Actions\Link",
"Caption","Open","Open","ActionDesign\Actions\ListViewShowObject",
"Caption","Log Off","Log Off","ActionDesign\Actions\Logoff",
"Caption","New","New","ActionDesign\Actions\New",
"Caption","The edited object is new.","The edited object is new.","ActionDesign\Actions\New\DisableReasons\MasterObjectIsNew",
"Caption","Previous Record","Previous Record","ActionDesign\Actions\PreviousObject",
"Caption","Next Record","Next Record","ActionDesign\Actions\NextObject",
"Caption","Refresh","Refresh","ActionDesign\Actions\Refresh",
"Caption","Navigation","Navigation","ActionDesign\Actions\ShowNavigationItem",
"Caption","View Info","View Info","ActionDesign\Actions\Diagnostic Info.View Info\ChoiceActionItems\View Info",
"Caption","Back","Back","ActionDesign\Actions\NavigateBack",
"ToolTip","Navigate to the previous view","Navigate to the previous view","ActionDesign\Actions\NavigateBack",
"Caption","Forward","Forward","ActionDesign\Actions\NavigateForward",
"ToolTip","Navigate to the next view","Navigate to the next view","ActionDesign\Actions\NavigateForward",
"Caption","Requires at least one object selected","Requires at least one object selected","ActionDesign\DisableReasons\ByContext_RequireMultipleObjects",
"Caption","Requires a single object selected","Requires a single object selected","ActionDesign\DisableReasons\ByContext_RequireSingleObject",
"Caption","Permission denied","Permission denied","ActionDesign\DisableReasons\Security",
"Caption","Criteria Provider","Criteria Provider","BOModel\DevExpress.ExpressApp.Editors.CriteriaProvider",
"Caption","Filtered Objects Type","Filtered Objects Type","BOModel\DevExpress.ExpressApp.Editors.CriteriaProvider\OwnMembers\FilteredObjectsType",
"Caption","Filter String","Filter String","BOModel\DevExpress.ExpressApp.Editors.CriteriaProvider\OwnMembers\FilterString",
"Caption","About Info","About Info","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo",
"Caption","Product Name","Product Name","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo\OwnMembers\ProductName",
"Caption","Version","Version","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo\OwnMembers\Version",
"Caption","Copyright","Copyright","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo\OwnMembers\Copyright",
"Caption","Company","Company","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo\OwnMembers\Company",
"Caption","Logo Image Name","Logo Image Name","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo\OwnMembers\LogoImageName",
"Caption","Description","Description","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo\OwnMembers\Description",
"Caption","Action Container","Action Container","BOModel\DevExpress.ExpressApp.SystemModule.ActionContainerDashboardOrganizationItem",
"Caption","Action Container","Action Container","BOModel\DevExpress.ExpressApp.SystemModule.ActionContainerDashboardOrganizationItem\OwnMembers\ActionContainer",
"Caption","Action Containers","Action Containers","BOModel\DevExpress.ExpressApp.SystemModule.ActionContainerDashboardOrganizationItem\OwnMembers\ActionContainers",
"Caption","Action Container Descriptor","Action Container Descriptor","BOModel\DevExpress.ExpressApp.SystemModule.ActionContainerDescriptor",
"Caption","Action Container Id","Action Container Id","BOModel\DevExpress.ExpressApp.SystemModule.ActionContainerDescriptor\OwnMembers\ActionContainerId",
"Caption","Dashboard Creation Wizard","Dashboard Creation Wizard","BOModel\DevExpress.ExpressApp.SystemModule.DashboardCreationInfo",
"Caption","Name","Name","BOModel\DevExpress.ExpressApp.SystemModule.DashboardCreationInfo\OwnMembers\DashboardName",
"Caption","Target Navigation Group","Target Navigation Group","BOModel\DevExpress.ExpressApp.SystemModule.DashboardCreationInfo\OwnMembers\NavigationGroupName",
"Caption","View Items","View Items","BOModel\DevExpress.ExpressApp.SystemModule.DashboardCreationInfo\OwnMembers\ViewItems",
"Caption","Dashboard Organization Item","Dashboard Organization Item","BOModel\DevExpress.ExpressApp.SystemModule.DashboardOrganizationItem",
"Caption","Id","Id","BOModel\DevExpress.ExpressApp.SystemModule.DashboardOrganizationItem\OwnMembers\Id",
"Caption","Item","Item","BOModel\DevExpress.ExpressApp.SystemModule.DashboardOrganizationItem\OwnMembers\Item",
"Caption","Visibility","Visibility","BOModel\DevExpress.ExpressApp.SystemModule.DashboardOrganizationItem\OwnMembers\Visibility",
"Caption","Dashboard Organizer","Dashboard Organizer","BOModel\DevExpress.ExpressApp.SystemModule.DashboardOrganizer",
"Caption","View Items","View Items","BOModel\DevExpress.ExpressApp.SystemModule.DashboardOrganizer\OwnMembers\ViewItems",
"Caption","Dashboard View Item Descriptor","Dashboard View Item Descriptor","BOModel\DevExpress.ExpressApp.SystemModule.DashboardViewItemDescriptor",
"Caption","View Caption","View Caption","BOModel\DevExpress.ExpressApp.SystemModule.DashboardViewItemDescriptor\OwnMembers\ViewCaption",
"Caption","View Id","View Id","BOModel\DevExpress.ExpressApp.SystemModule.DashboardViewItemDescriptor\OwnMembers\ViewId",
"Caption","View Description","View Description","BOModel\DevExpress.ExpressApp.SystemModule.DashboardViewItemDescriptor\OwnMembers\ViewDescription",
"Caption","Model View","Model View","BOModel\DevExpress.ExpressApp.SystemModule.DashboardViewItemDescriptor\OwnMembers\ModelView",
"Caption","Diagnostic Info Object","Diagnostic Info Object","BOModel\DevExpress.ExpressApp.SystemModule.DiagnosticInfoObject",
"Caption","As Text","As Text","BOModel\DevExpress.ExpressApp.SystemModule.DiagnosticInfoObject\OwnMembers\AsText",
"Caption","Static Image","Static Image","BOModel\DevExpress.ExpressApp.SystemModule.StaticImageDashboardOrganizationItem",
"Caption","Image Name","Image Name","BOModel\DevExpress.ExpressApp.SystemModule.StaticImageDashboardOrganizationItem\OwnMembers\ImageName",
"Caption","Preview","Preview","BOModel\DevExpress.ExpressApp.SystemModule.StaticImageDashboardOrganizationItem\OwnMembers\Preview",
"Caption","Static Text","Static Text","BOModel\DevExpress.ExpressApp.SystemModule.StaticTextDashboardOrganizationItem",
"Caption","Text","Text","BOModel\DevExpress.ExpressApp.SystemModule.StaticTextDashboardOrganizationItem\OwnMembers\Text",
"Caption","View","View","BOModel\DevExpress.ExpressApp.SystemModule.ViewDashboardOrganizationItem",
"Caption","Available Views","Available Views","BOModel\DevExpress.ExpressApp.SystemModule.ViewDashboardOrganizationItem\OwnMembers\AvailableViews",
"Caption","Object Type","Object Type","BOModel\DevExpress.ExpressApp.SystemModule.ViewDashboardOrganizationItem\OwnMembers\ObjectType",
"Caption","View","View","BOModel\DevExpress.ExpressApp.SystemModule.ViewDashboardOrganizationItem\OwnMembers\ViewDescriptor",
"Caption","Criteria","Criteria","BOModel\DevExpress.ExpressApp.SystemModule.ViewDashboardOrganizationItem\OwnMembers\Criteria",
"Caption","Actions Toolbar Visibility","Actions Toolbar Visibility","BOModel\DevExpress.ExpressApp.SystemModule.ViewDashboardOrganizationItem\OwnMembers\ActionsToolbarVisibility",
"Value","DashboardView","DashboardView","Localization\Captions\DashboardView",
"Value","DetailView","DetailView","Localization\Captions\DetailView",
"Value","(Child Window)","(Child Window)","Localization\Captions\DiagnosticChildWindowAddition",
"Value","Edit Criteria","Edit Criteria","Localization\Captions\EditCriteria",
"Value","ListView","ListView","Localization\Captions\ListView",
"Value","View","View","Localization\Captions\View",
"Value","Application server was started using Remoting.","Application server was started using Remoting.","Localization\Controls\ServerLog\ApplicationServerStartedRemoting",
"Value","Application server was started using WCF.","Application server was started using WCF.","Localization\Controls\ServerLog\ApplicationServerStartedWcf",
"Value","Application server was stopped.","Application server was stopped.","Localization\Controls\ServerLog\AppServerStopped",
"Value","Cannot find method '{0}.{1}' while executing a function on the server.","Cannot find method '{0}.{1}' while executing a function on the server.","Localization\Controls\ServerLog\CannotFindMethod",
"Value","Cannot find type '{0}'.","Cannot find type '{0}'.","Localization\Controls\ServerLog\CannotFindType",
"Value","Client info: Id={0}; {1}","Client info: Id={0}; {1}","Localization\Controls\ServerLog\ClientInfoTemplate",
"Value","Dictionary: ","Dictionary: ","Localization\Controls\ServerLog\Dictionary",
"Value","Category: {0}\r\nCode: {1}\r\nText: {2}.","Category: {0}\r\nCode: {1}\r\nText: {2}.","Localization\Controls\ServerLog\EmailBodyTemplate",
"Value","Execution of function '{0}' was successfully finished.","Execution of function '{0}' was successfully finished.","Localization\Controls\ServerLog\FunctionExecutionFinished",
