"Property Name",,"de","Node Path","Description"
"VersionFormat","Version {0}.{1}.{2}","Version {0}.{1}.{2}","Application",
"ProtectedContentText","Protected Content","Geschützter Inhalt","Application",
"Caption","Log On","Anmeldung","ActionDesign\Actions\Logon",
"Caption","Actions Info","Aktions Info","ActionDesign\Actions\Diagnostic Info.Actions Info\ChoiceActionItems\Actions Info",
"Caption","Create Dashboard","Erzeuge Übersicht","ActionDesign\Actions\CreateDashboard",
"Caption","Organize Dashboard","Organisiere Übersicht","ActionDesign\Actions\OrganizeDashboard",
"Caption","Delete Item","Datensatz löschen","ActionDesign\Actions\Delete Item",
"ConfirmationMessage","You are about to delete the selected item(s). Do you want to proceed?","Sie sind im Begriff die selektierten Datensätze zu löschen. Möchten Sie fortsetzen?","ActionDesign\Actions\Delete Item",
"Caption","Hide from dashboard","Aus Übersicht ausblenden","ActionDesign\Actions\HideItemsFromDashboard",
"ToolTip","Hide selected item(s) from dashboard","Ausgewählten Artikel aus Übersicht ausblenden","ActionDesign\Actions\HideItemsFromDashboard",
"Caption","Show on dashboard","Zeige in Übersicht","ActionDesign\Actions\ShowItemsOnDashboard",
"ToolTip","Show selected item(s) on dashboard","Zeige ausgewählten Artikel in Übersicht","ActionDesign\Actions\ShowItemsOnDashboard",
"Caption","Delete","Löschen","ActionDesign\Actions\Delete",
"ConfirmationMessage","You are about to delete the selected record(s). Do you want to proceed?","Sie sind im Begriff die selektierten Datensätze zu löschen. Möchten Sie fortfahren?","ActionDesign\Actions\Delete",
"Caption","Save","Speichern","ActionDesign\Actions\Save",
"Caption","Save and Close","Speichern und Schliessen","ActionDesign\Actions\SaveAndClose",
"Caption","Save and New","Speichern und Neu","ActionDesign\Actions\SaveAndNew",
"Caption","Cancel","Abbrechen","ActionDesign\Actions\Cancel",
"Caption","Diagnostic","Diagnose","ActionDesign\Actions\Diagnostic Info",
"Caption","OK","OK","ActionDesign\Actions\DialogOK",
"Caption","Cancel","Abbrechen","ActionDesign\Actions\DialogCancel",
"Caption","Filter by Text","Filtern nach Text","ActionDesign\Actions\FullTextSearch",
"ShortCaption","Search","Ausführen!","ActionDesign\Actions\FullTextSearch",
"NullValuePrompt","Text to search...","Text to search...","ActionDesign\Actions\FullTextSearch",
"ToolTip","Filter records by text","Datensätze filtern nach Text","ActionDesign\Actions\FullTextSearch",
"Caption","Filter","Filtern","ActionDesign\Actions\SetFilter",
"Caption","Unlink","Trennen","ActionDesign\Actions\Unlink",
"ConfirmationMessage","You are about to unlink the selected record(s). Do you want to proceed?","Sie sind im Begriff die selektierten Datensätze zu trennen. Möchten Sie fortfahren?","ActionDesign\Actions\Unlink",
"Caption","Link","Verbinden","ActionDesign\Actions\Link",
"Caption","Open","Öffnen","ActionDesign\Actions\ListViewShowObject",
"Caption","Log Off","Abmelden","ActionDesign\Actions\Logoff",
"Caption","New","Neu","ActionDesign\Actions\New",
"Caption","The edited object is new.","Der editierte Datensatz ist neu.","ActionDesign\Actions\New\DisableReasons\MasterObjectIsNew",
"Caption","Previous Record","Vorheriger Datensatz","ActionDesign\Actions\PreviousObject",
"Caption","Next Record","Nächster Datensatz","ActionDesign\Actions\NextObject",
"Caption","Refresh","Aktualisieren","ActionDesign\Actions\Refresh",
"Caption","Navigation","Navigation","ActionDesign\Actions\ShowNavigationItem",
"Caption","View Info","Ansicht Info","ActionDesign\Actions\Diagnostic Info.View Info\ChoiceActionItems\View Info",
"Caption","Back","Zurück","ActionDesign\Actions\NavigateBack",
"ToolTip","Navigate to the previous view","Navigieren zur vorherigen Ansicht","ActionDesign\Actions\NavigateBack",
"Caption","Forward","Vorwärts","ActionDesign\Actions\NavigateForward",
"ToolTip","Navigate to the next view","Navigieren zur nächsten Ansicht","ActionDesign\Actions\NavigateForward",
"Caption","Requires at least one object selected","Benötigt mindestens einen selektierten Datensatz","ActionDesign\DisableReasons\ByContext_RequireMultipleObjects",
"Caption","Requires a single object selected","Benötigt einen einzelnen selektierten Datensatz","ActionDesign\DisableReasons\ByContext_RequireSingleObject",
"Caption","Permission denied","Berechtigung verweigert","ActionDesign\DisableReasons\Security",
"Caption","Criteria Provider","Kriteriumanbieter","BOModel\DevExpress.ExpressApp.Editors.CriteriaProvider",
"Caption","Filtered Objects Type","Gefilterter Datensatztyp","BOModel\DevExpress.ExpressApp.Editors.CriteriaProvider\OwnMembers\FilteredObjectsType",
"Caption","Filter String","Filtertext","BOModel\DevExpress.ExpressApp.Editors.CriteriaProvider\OwnMembers\FilterString",
"Caption","About Info","Info über","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo",
"Caption","Product Name","Produktname","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo\OwnMembers\ProductName",
"Caption","Version","Version","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo\OwnMembers\Version",
"Caption","Copyright","Urheberrecht","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo\OwnMembers\Copyright",
"Caption","Company","Firma","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo\OwnMembers\Company",
"Caption","Logo Image Name","Logo Bildname","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo\OwnMembers\LogoImageName",
"Caption","Description","Beschreibung","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo\OwnMembers\Description",
