"Property Name",,"es","Node Path","Description"
"VersionFormat","Version {0}.{1}.{2}","Versión {0}.{1}.{2}","Application",
"ProtectedContentText","Protected Content","Contenido Protegido","Application",
"Caption","Log On","Conectarse","ActionDesign\Actions\Logon",
"Caption","Actions Info","Actions Info","ActionDesign\Actions\Diagnostic Info.Actions Info\ChoiceActionItems\Actions Info",
"Caption","Create Dashboard","Crear paneles","ActionDesign\Actions\CreateDashboard",
"Caption","Organize Dashboard","Organizar paneles","ActionDesign\Actions\OrganizeDashboard",
"Caption","Delete Item","Eliminar Item","ActionDesign\Actions\Delete Item",
"ConfirmationMessage","You are about to delete the selected item(s). Do you want to proceed?","Usted está a punto de eliminar el/los elemento/s seleccionado/s. ¿Desea continuar?","ActionDesign\Actions\Delete Item",
"Caption","Hide from dashboard","Ocultar de tablero","ActionDesign\Actions\HideItemsFromDashboard",
"ToolTip","Hide selected item(s) from dashboard","Ocultar el elemento seleccionado (s) de tablero","ActionDesign\Actions\HideItemsFromDashboard",
"Caption","Show on dashboard","Mostrar en el tablero de instrumentos","ActionDesign\Actions\ShowItemsOnDashboard",
"ToolTip","Show selected item(s) on dashboard","Mostrar el elemento seleccionado (s) en el tablero","ActionDesign\Actions\ShowItemsOnDashboard",
"Caption","Delete","Eliminar","ActionDesign\Actions\Delete",
"ConfirmationMessage","You are about to delete the selected record(s). Do you want to proceed?","Usted está a punto de eliminar el registro seleccionado (s). ¿Desea continuar?","ActionDesign\Actions\Delete",
"Caption","Save","Guardar","ActionDesign\Actions\Save",
"Caption","Save and Close","Guardar y cerrar","ActionDesign\Actions\SaveAndClose",
"Caption","Save and New","Guardar y Nuevo","ActionDesign\Actions\SaveAndNew",
"Caption","Cancel","Cancelar","ActionDesign\Actions\Cancel",
"Caption","Diagnostic","Diagnóstico","ActionDesign\Actions\Diagnostic Info",
"Caption","OK","Aceptar","ActionDesign\Actions\DialogOK",
"Caption","Cancel","Cancelar","ActionDesign\Actions\DialogCancel",
"Caption","Filter by Text","Filtrar por texto","ActionDesign\Actions\FullTextSearch",
"ShortCaption","Search","Search","ActionDesign\Actions\FullTextSearch",
