"Property Name",,"hr","Node Path","Description"
"VersionFormat","Version {0}.{1}.{2}","Verzija {0}.{1}.{2}","Application",
"ProtectedContentText","Protected Content","Zaštićeni sadržaj","Application",
"Caption","Log On","Prijava","ActionDesign\Actions\Logon",
"Caption","Actions Info","Info o akcijama","ActionDesign\Actions\Diagnostic Info.Actions Info\ChoiceActionItems\Actions Info",
"Caption","Create Dashboard","Kreiraj radnu ploču","ActionDesign\Actions\CreateDashboard",
"Caption","Organize Dashboard","Presloži radnu ploču","ActionDesign\Actions\OrganizeDashboard",
"Caption","Delete Item","Obriši stavku","ActionDesign\Actions\Delete Item",
"ConfirmationMessage","You are about to delete the selected item(s). Do you want to proceed?","Sigurno želite obrisati odabrane stavke?","ActionDesign\Actions\Delete Item",
"Caption","Hide from dashboard","Ukloni s radne ploče","ActionDesign\Actions\HideItemsFromDashboard",
"ToolTip","Hide selected item(s) from dashboard","Ukloni odabrane stavke s radne ploče","ActionDesign\Actions\HideItemsFromDashboard",
"Caption","Show on dashboard","Prikaži na radnoj ploči","ActionDesign\Actions\ShowItemsOnDashboard",
"ToolTip","Show selected item(s) on dashboard","Prikaži odabrane stavke na radnoj ploči","ActionDesign\Actions\ShowItemsOnDashboard",
"Caption","Delete","Obriši","ActionDesign\Actions\Delete",
"ConfirmationMessage","You are about to delete the selected record(s). Do you want to proceed?","Sigurno želite obrisati odabrane zapise?","ActionDesign\Actions\Delete",
"Caption","Save","Snimi","ActionDesign\Actions\Save",
"Caption","Save and Close","Snimi i zatvorti","ActionDesign\Actions\SaveAndClose",
"Caption","Save and New","Snimi i novi","ActionDesign\Actions\SaveAndNew",
"Caption","Cancel","Odustani","ActionDesign\Actions\Cancel",
"Caption","Diagnostic","Dijagnostika","ActionDesign\Actions\Diagnostic Info",
"Caption","OK","U redu","ActionDesign\Actions\DialogOK",
"Caption","Cancel","Odustani","ActionDesign\Actions\DialogCancel",
"Caption","Filter by Text","Filtriraj po tekstu","ActionDesign\Actions\FullTextSearch",
"ShortCaption","Search","KRENI!","ActionDesign\Actions\FullTextSearch",
"NullValuePrompt","Text to search...","Text to search...","ActionDesign\Actions\FullTextSearch",
"ToolTip","Filter records by text","Filtriraj objekte po tekstu","ActionDesign\Actions\FullTextSearch",
"Caption","Filter","Filter","ActionDesign\Actions\SetFilter",
"Caption","Unlink","Otpoji","ActionDesign\Actions\Unlink",
"ConfirmationMessage","You are about to unlink the selected record(s). Do you want to proceed?","Sigurno želite otpojiti odabrane zapise?","ActionDesign\Actions\Unlink",
"Caption","Link","Spoji","ActionDesign\Actions\Link",
"Caption","Open","Otvori","ActionDesign\Actions\ListViewShowObject",
"Caption","Log Off","Odjava","ActionDesign\Actions\Logoff",
"Caption","New","Novi","ActionDesign\Actions\New",
"Caption","The edited object is new.","Objekt koji se mijenja je novi","ActionDesign\Actions\New\DisableReasons\MasterObjectIsNew",
"Caption","Previous Record","Prethodni objekt","ActionDesign\Actions\PreviousObject",
"Caption","Next Record","Slijedeći objekt","ActionDesign\Actions\NextObject",
"Caption","Refresh","Osvježi","ActionDesign\Actions\Refresh",
"Caption","Navigation","Navigacija","ActionDesign\Actions\ShowNavigationItem",
"Caption","View Info","Podaci o pogledima","ActionDesign\Actions\Diagnostic Info.View Info\ChoiceActionItems\View Info",
"Caption","Back","Prethodni","ActionDesign\Actions\NavigateBack",
"ToolTip","Navigate to the previous view","Pomakni se na prethodni pogled","ActionDesign\Actions\NavigateBack",
"Caption","Forward","Slijedeći","ActionDesign\Actions\NavigateForward",
"ToolTip","Navigate to the next view","Pomakni se na slijedeći pogled","ActionDesign\Actions\NavigateForward",
"Caption","Requires at least one object selected","Mora biti odabran barem jedan objekt","ActionDesign\DisableReasons\ByContext_RequireMultipleObjects",
"Caption","Requires a single object selected","Mora biti odabran samo jedan objekt","ActionDesign\DisableReasons\ByContext_RequireSingleObject",
"Caption","Permission denied","Dozvola odbijena","ActionDesign\DisableReasons\Security",
"Caption","Criteria Provider","Pružatelj kriterija","BOModel\DevExpress.ExpressApp.Editors.CriteriaProvider",
"Caption","Filtered Objects Type","Filtrirani Tipovi Objekata","BOModel\DevExpress.ExpressApp.Editors.CriteriaProvider\OwnMembers\FilteredObjectsType",
"Caption","Filter String","Filter Tekst","BOModel\DevExpress.ExpressApp.Editors.CriteriaProvider\OwnMembers\FilterString",
"Caption","About Info","O programu","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo",
"Caption","Product Name","Naziv Produkta","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo\OwnMembers\ProductName",
