"Property Name",,"it-IT","Node Path","Description"
"VersionFormat","Version {0}.{1}.{2}","Versione {0}.{1}.{2}","Application",
"ProtectedContentText","Protected Content","Contenuto Protetto","Application",
"Caption","Log On","Accedi","ActionDesign\Actions\Logon",
"Caption","Actions Info","Info Azioni","ActionDesign\Actions\Diagnostic Info.Actions Info\ChoiceActionItems\Actions Info",
"Caption","Create Dashboard","Crea Cruscotto","ActionDesign\Actions\CreateDashboard",
"Caption","Organize Dashboard","Organizza Cruscotto","ActionDesign\Actions\OrganizeDashboard",
"Caption","Delete Item","Elimina Elemento","ActionDesign\Actions\Delete Item",
"ConfirmationMessage","You are about to delete the selected item(s). Do you want to proceed?","Si stanno per eliminare gli elementi selezionati. Si desidera procedere?","ActionDesign\Actions\Delete Item",
"Caption","Hide from dashboard","Nascondi dal Cruscotto","ActionDesign\Actions\HideItemsFromDashboard",
"ToolTip","Hide selected item(s) from dashboard","Nasconde gli elementi selezionati dal Cruscotto","ActionDesign\Actions\HideItemsFromDashboard",
"Caption","Show on dashboard","Mostra nel Cruscotto","ActionDesign\Actions\ShowItemsOnDashboard",
"ToolTip","Show selected item(s) on dashboard","Mostra gli elementi selezionati nel Cruscotto","ActionDesign\Actions\ShowItemsOnDashboard",
"Caption","Delete","Elimina","ActionDesign\Actions\Delete",
"ConfirmationMessage","You are about to delete the selected record(s). Do you want to proceed?","Si stanno per eliminare i records selezionati. Si desidera procedere?","ActionDesign\Actions\Delete",
"Caption","Save","Salva","ActionDesign\Actions\Save",
"Caption","Save and Close","Salva e Chiudi","ActionDesign\Actions\SaveAndClose",
"Caption","Save and New","Salva e Nuovo","ActionDesign\Actions\SaveAndNew",
"Caption","Cancel","Annulla","ActionDesign\Actions\Cancel",
"Caption","Diagnostic","Diagnostica","ActionDesign\Actions\Diagnostic Info",
"Caption","OK","Ok","ActionDesign\Actions\DialogOK",
"Caption","Cancel","Annulla","ActionDesign\Actions\DialogCancel",
"Caption","Filter by Text","Filtra per Testo","ActionDesign\Actions\FullTextSearch",
"ShortCaption","Search","VAI!","ActionDesign\Actions\FullTextSearch",
