"Property Name",,"ja","Node Path","Description"
"VersionFormat","Version {0}.{1}.{2}","バージョン {0}.{1}.{2}","Application",
"ProtectedContentText","Protected Content","保護されたコンテンツ","Application",
"Caption","Log On","ログオン","ActionDesign\Actions\Logon",
"Caption","Actions Info","操作情報","ActionDesign\Actions\Diagnostic Info.Actions Info\ChoiceActionItems\Actions Info",
"Caption","Create Dashboard","ダッシュボードの作成","ActionDesign\Actions\CreateDashboard",
"Caption","Organize Dashboard","ダッシュボードの整理","ActionDesign\Actions\OrganizeDashboard",
"Caption","Delete Item","アイテムの削除","ActionDesign\Actions\Delete Item",
"ConfirmationMessage","You are about to delete the selected item(s). Do you want to proceed?","選択されたアイテムを削除しようとしています。続行しますか？","ActionDesign\Actions\Delete Item",
"Caption","Hide from dashboard","ダッシュボードのアイテムを非表示","ActionDesign\Actions\HideItemsFromDashboard",
"ToolTip","Hide selected item(s) from dashboard","選択されたアイテムをダッシュボードで非表示","ActionDesign\Actions\HideItemsFromDashboard",
"Caption","Show on dashboard","ダッシュボードのアイテムを表示","ActionDesign\Actions\ShowItemsOnDashboard",
"ToolTip","Show selected item(s) on dashboard","選択されたアイテムをダッシュボードに表示","ActionDesign\Actions\ShowItemsOnDashboard",
"Caption","Delete","削除","ActionDesign\Actions\Delete",
"ConfirmationMessage","You are about to delete the selected record(s). Do you want to proceed?","選択されたアイテムを削除しようとしています。続行しますか？","ActionDesign\Actions\Delete",
"Caption","Save","保存","ActionDesign\Actions\Save",
"Caption","Save and Close","保存して閉じる","ActionDesign\Actions\SaveAndClose",
"Caption","Save and New","保存して新規作成","ActionDesign\Actions\SaveAndNew",
"Caption","Cancel","キャンセル","ActionDesign\Actions\Cancel",
"Caption","Diagnostic","診断情報","ActionDesign\Actions\Diagnostic Info",
"Caption","OK","OK","ActionDesign\Actions\DialogOK",
"Caption","Cancel","キャンセル","ActionDesign\Actions\DialogCancel",
"Caption","Filter by Text","テキストでフィルター","ActionDesign\Actions\FullTextSearch",
"ShortCaption","Search","検索","ActionDesign\Actions\FullTextSearch",
"NullValuePrompt","Text to search...","検索するテキスト...","ActionDesign\Actions\FullTextSearch",
"ToolTip","Filter records by text","テキストでオブジェクトをフィルター","ActionDesign\Actions\FullTextSearch",
"Caption","Filter","フィルター","ActionDesign\Actions\SetFilter",
"Caption","Unlink","リンクの解除","ActionDesign\Actions\Unlink",
"ConfirmationMessage","You are about to unlink the selected record(s). Do you want to proceed?","選択されたレコードのリンクを解除しようとしています。続行しますか？","ActionDesign\Actions\Unlink",
"Caption","Link","リンク","ActionDesign\Actions\Link",
"Caption","Open","開く","ActionDesign\Actions\ListViewShowObject",
"Caption","Log Off","ログオフ","ActionDesign\Actions\Logoff",
"Caption","New","新規","ActionDesign\Actions\New",
