"Property Name",,"no","Node Path","Description"
"VersionFormat","Version {0}.{1}.{2}","Versjon {0}.{1}.{2}","Application",
"ProtectedContentText","Protected Content","Beskyttet innhold","Application",
"Caption","Log On","Logg på","ActionDesign\Actions\Logon",
"Caption","Actions Info","Actions Info","ActionDesign\Actions\Diagnostic Info.Actions Info\ChoiceActionItems\Actions Info",
"Caption","Create Dashboard","Opprett instrumentbord","ActionDesign\Actions\CreateDashboard",
"Caption","Organize Dashboard","Organiser instrumentbordet","ActionDesign\Actions\OrganizeDashboard",
"Caption","Delete Item","Delete Item","ActionDesign\Actions\Delete Item",
"ConfirmationMessage","You are about to delete the selected item(s). Do you want to proceed?","You are about to delete the selected item(s). Do you want to proceed?","ActionDesign\Actions\Delete Item",
"Caption","Hide from dashboard","Skjul fra instrumentbordet","ActionDesign\Actions\HideItemsFromDashboard",
"ToolTip","Hide selected item(s) from dashboard","Hide selected item(s) from dashboard","ActionDesign\Actions\HideItemsFromDashboard",
"Caption","Show on dashboard","Vis på instrumentbordet","ActionDesign\Actions\ShowItemsOnDashboard",
"ToolTip","Show selected item(s) on dashboard","Show selected item(s) on dashboard","ActionDesign\Actions\ShowItemsOnDashboard",
"Caption","Delete","Slett","ActionDesign\Actions\Delete",
"ConfirmationMessage","You are about to delete the selected record(s). Do you want to proceed?","Du skal til å slette den valgte posten(e). Vil du fortsette?","ActionDesign\Actions\Delete",
"Caption","Save","Lagre","ActionDesign\Actions\Save",
"Caption","Save and Close","Lagre og lukk","ActionDesign\Actions\SaveAndClose",
"Caption","Save and New","Lagre og ny","ActionDesign\Actions\SaveAndNew",
"Caption","Cancel","Avbryt","ActionDesign\Actions\Cancel",
"Caption","Diagnostic","Diagnose","ActionDesign\Actions\Diagnostic Info",
"Caption","OK","Ok","ActionDesign\Actions\DialogOK",
"Caption","Cancel","Avbryt","ActionDesign\Actions\DialogCancel",
"Caption","Filter by Text","Filtrere etter tekst","ActionDesign\Actions\FullTextSearch",
"ShortCaption","Search","GÅ!","ActionDesign\Actions\FullTextSearch",
"NullValuePrompt","Text to search...","Text to search...","ActionDesign\Actions\FullTextSearch",
"ToolTip","Filter records by text","Filtrere objekter etter tekst","ActionDesign\Actions\FullTextSearch",
"Caption","Filter","Filtrere","ActionDesign\Actions\SetFilter",
"Caption","Unlink","Koble fra","ActionDesign\Actions\Unlink",
"ConfirmationMessage","You are about to unlink the selected record(s). Do you want to proceed?","Du prøver å koble fra den valgte posten(e). Vil du fortsette?","ActionDesign\Actions\Unlink",
"Caption","Link","Kobling","ActionDesign\Actions\Link",
"Caption","Open","Åpne","ActionDesign\Actions\ListViewShowObject",
"Caption","Log Off","Logg av","ActionDesign\Actions\Logoff",
"Caption","New","Ny","ActionDesign\Actions\New",
"Caption","The edited object is new.","Det redigerte objektet er nytt.","ActionDesign\Actions\New\DisableReasons\MasterObjectIsNew",
"Caption","Previous Record","Forrige objekt","ActionDesign\Actions\PreviousObject",
"Caption","Next Record","Neste objekt","ActionDesign\Actions\NextObject",
"Caption","Refresh","Oppfrisk","ActionDesign\Actions\Refresh",
"Caption","Navigation","Navigasjon","ActionDesign\Actions\ShowNavigationItem",
"Caption","View Info","View Info","ActionDesign\Actions\Diagnostic Info.View Info\ChoiceActionItems\View Info",
"Caption","Back","Tilbake","ActionDesign\Actions\NavigateBack",
"ToolTip","Navigate to the previous view","Gå til forrige visning","ActionDesign\Actions\NavigateBack",
"Caption","Forward","Fremover","ActionDesign\Actions\NavigateForward",
"ToolTip","Navigate to the next view","Gå til neste visning","ActionDesign\Actions\NavigateForward",
"Caption","Requires at least one object selected","Krever at minst ett objekt er valgt","ActionDesign\DisableReasons\ByContext_RequireMultipleObjects",
"Caption","Requires a single object selected","Krever at et enkelt objekt er valgt","ActionDesign\DisableReasons\ByContext_RequireSingleObject",
"Caption","Permission denied","Ingen tilgang","ActionDesign\DisableReasons\Security",
"Caption","Criteria Provider","Vilkår-leverandør","BOModel\DevExpress.ExpressApp.Editors.CriteriaProvider",
"Caption","Filtered Objects Type","Typen til filtrerte objekter","BOModel\DevExpress.ExpressApp.Editors.CriteriaProvider\OwnMembers\FilteredObjectsType",
"Caption","Filter String","Filtertekst","BOModel\DevExpress.ExpressApp.Editors.CriteriaProvider\OwnMembers\FilterString",
"Caption","About Info","Om info","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo",
"Caption","Product Name","Produktnavn","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo\OwnMembers\ProductName",
"Caption","Version","Versjon","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo\OwnMembers\Version",
"Caption","Copyright","Opphavsrett","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo\OwnMembers\Copyright",
"Caption","Company","Selskap","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo\OwnMembers\Company",
"Caption","Logo Image Name","Logonavn","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo\OwnMembers\LogoImageName",
"Caption","Description","Beskrivelse","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo\OwnMembers\Description",
"Caption","Action Container","Action Container","BOModel\DevExpress.ExpressApp.SystemModule.ActionContainerDashboardOrganizationItem",
"Caption","Action Container","Action Container","BOModel\DevExpress.ExpressApp.SystemModule.ActionContainerDashboardOrganizationItem\OwnMembers\ActionContainer",
"Caption","Action Containers","Action Containers","BOModel\DevExpress.ExpressApp.SystemModule.ActionContainerDashboardOrganizationItem\OwnMembers\ActionContainers",
"Caption","Action Container Descriptor","Action Container Descriptor","BOModel\DevExpress.ExpressApp.SystemModule.ActionContainerDescriptor",
"Caption","Action Container Id","Action Container Id","BOModel\DevExpress.ExpressApp.SystemModule.ActionContainerDescriptor\OwnMembers\ActionContainerId",
"Caption","Dashboard Creation Wizard","Veileder for oppretting av instrumentbord","BOModel\DevExpress.ExpressApp.SystemModule.DashboardCreationInfo",
"Caption","Name","Navn","BOModel\DevExpress.ExpressApp.SystemModule.DashboardCreationInfo\OwnMembers\DashboardName",
"Caption","Target Navigation Group","Opprett ett navigasjonselement i","BOModel\DevExpress.ExpressApp.SystemModule.DashboardCreationInfo\OwnMembers\NavigationGroupName",
"Caption","View Items","View Items","BOModel\DevExpress.ExpressApp.SystemModule.DashboardCreationInfo\OwnMembers\ViewItems",
"Caption","Dashboard Organization Item","Organiser instrumentbordet","BOModel\DevExpress.ExpressApp.SystemModule.DashboardOrganizationItem",
"Caption","Id","Id","BOModel\DevExpress.ExpressApp.SystemModule.DashboardOrganizationItem\OwnMembers\Id",
"Caption","Item","Element","BOModel\DevExpress.ExpressApp.SystemModule.DashboardOrganizationItem\OwnMembers\Item",
"Caption","Visibility","Visibility","BOModel\DevExpress.ExpressApp.SystemModule.DashboardOrganizationItem\OwnMembers\Visibility",
"Caption","Dashboard Organizer","Organiser instrumentbordet","BOModel\DevExpress.ExpressApp.SystemModule.DashboardOrganizer",
"Caption","View Items","View Items","BOModel\DevExpress.ExpressApp.SystemModule.DashboardOrganizer\OwnMembers\ViewItems",
"Caption","Dashboard View Item Descriptor","Instrumentbord vis element beskrivelser","BOModel\DevExpress.ExpressApp.SystemModule.DashboardViewItemDescriptor",
"Caption","View Caption","View Caption","BOModel\DevExpress.ExpressApp.SystemModule.DashboardViewItemDescriptor\OwnMembers\ViewCaption",
"Caption","View Id","Visningsid","BOModel\DevExpress.ExpressApp.SystemModule.DashboardViewItemDescriptor\OwnMembers\ViewId",
"Caption","View Description","View Description","BOModel\DevExpress.ExpressApp.SystemModule.DashboardViewItemDescriptor\OwnMembers\ViewDescription",
"Caption","Model View","Model View","BOModel\DevExpress.ExpressApp.SystemModule.DashboardViewItemDescriptor\OwnMembers\ModelView",
"Caption","Diagnostic Info Object","Diagnostisk informasjon-objekt","BOModel\DevExpress.ExpressApp.SystemModule.DiagnosticInfoObject",
"Caption","As Text","Som tekst","BOModel\DevExpress.ExpressApp.SystemModule.DiagnosticInfoObject\OwnMembers\AsText",
"Caption","Static Image","Statisk bilde","BOModel\DevExpress.ExpressApp.SystemModule.StaticImageDashboardOrganizationItem",
"Caption","Image Name","Navn på bildet","BOModel\DevExpress.ExpressApp.SystemModule.StaticImageDashboardOrganizationItem\OwnMembers\ImageName",
"Caption","Preview","Forhåndsvisning","BOModel\DevExpress.ExpressApp.SystemModule.StaticImageDashboardOrganizationItem\OwnMembers\Preview",
"Caption","Static Text","Statisk tekst","BOModel\DevExpress.ExpressApp.SystemModule.StaticTextDashboardOrganizationItem",
"Caption","Text","Tekst","BOModel\DevExpress.ExpressApp.SystemModule.StaticTextDashboardOrganizationItem\OwnMembers\Text",
"Caption","View","Visning","BOModel\DevExpress.ExpressApp.SystemModule.ViewDashboardOrganizationItem",
"Caption","Available Views","Available Views","BOModel\DevExpress.ExpressApp.SystemModule.ViewDashboardOrganizationItem\OwnMembers\AvailableViews",
"Caption","Object Type","Objekt-type","BOModel\DevExpress.ExpressApp.SystemModule.ViewDashboardOrganizationItem\OwnMembers\ObjectType",
"Caption","View","Visning","BOModel\DevExpress.ExpressApp.SystemModule.ViewDashboardOrganizationItem\OwnMembers\ViewDescriptor",
"Caption","Criteria","Vilkår","BOModel\DevExpress.ExpressApp.SystemModule.ViewDashboardOrganizationItem\OwnMembers\Criteria",
"Caption","Actions Toolbar Visibility","Actions Toolbar Visibility","BOModel\DevExpress.ExpressApp.SystemModule.ViewDashboardOrganizationItem\OwnMembers\ActionsToolbarVisibility",
"Value","DashboardView","DashboardView","Localization\Captions\DashboardView",
"Value","DetailView","DetailView","Localization\Captions\DetailView",
"Value","(Child Window)","(Child Window)","Localization\Captions\DiagnosticChildWindowAddition",
"Value","Edit Criteria","Edit Criteria","Localization\Captions\EditCriteria",
"Value","ListView","ListView","Localization\Captions\ListView",
"Value","View","View","Localization\Captions\View",
"Value","Application server was started using Remoting.","Application server was started using Remoting.","Localization\Controls\ServerLog\ApplicationServerStartedRemoting",
"Value","Application server was started using WCF.","Application server was started using WCF.","Localization\Controls\ServerLog\ApplicationServerStartedWcf",
"Value","Application server was stopped.","Application server was stopped.","Localization\Controls\ServerLog\AppServerStopped",
"Value","Cannot find method '{0}.{1}' while executing a function on the server.","Cannot find method '{0}.{1}' while executing a function on the server.","Localization\Controls\ServerLog\CannotFindMethod",
"Value","Cannot find type '{0}'.","Cannot find type '{0}'.","Localization\Controls\ServerLog\CannotFindType",
"Value","Client info: Id={0}; {1}","Client info: Id={0}; {1}","Localization\Controls\ServerLog\ClientInfoTemplate",
"Value","Dictionary: ","Dictionary: ","Localization\Controls\ServerLog\Dictionary",
"Value","Category: {0}\r\nCode: {1}\r\nText: {2}.","Category: {0}\r\nCode: {1}\r\nText: {2}.","Localization\Controls\ServerLog\EmailBodyTemplate",
"Value","Execution of function '{0}' was successfully finished.","Execution of function '{0}' was successfully finished.","Localization\Controls\ServerLog\FunctionExecutionFinished",
"Value","Execution of function '{0}' was started.","Execution of function '{0}' was started.","Localization\Controls\ServerLog\FunctionExecutionStarted",
"Value","Attempt to call a function with incorrect syntax.\r\nCommand: {0}.","Attempt to call a function with incorrect syntax.\r\nCommand: {0}.","Localization\Controls\ServerLog\FunctionIncorrectSyntax",
"Value","Call to CheckCompatibilityService for module info (moduleName is '{0}'). Response is empty.","Call to CheckCompatibilityService for module info (moduleName is '{0}'). Response is empty.","Localization\Controls\ServerLog\GetModuleEmptyResult",
"Value","Call to CheckCompatibilityService for module list. Response is empty.","Call to CheckCompatibilityService for module list. Response is empty.","Localization\Controls\ServerLog\GetModulesEmptyResult",
"Value","Call to CheckCompatibilityService for module list. Modules have been successfully obtained.","Call to CheckCompatibilityService for module list. Modules have been successfully obtained.","Localization\Controls\ServerLog\GetModulesSuccess",
"Value","Call to CheckCompatibilityService for module info (moduleName is '{0}'). Response: {1}.","Call to CheckCompatibilityService for module info (moduleName is '{0}'). Response: {1}.","Localization\Controls\ServerLog\GetModuleSuccess",
