"Property Name",,"ru","Node Path","Description"
"VersionFormat","Version {0}.{1}.{2}","Версия  {0}.{1}.{2}","Application",
"ProtectedContentText","Protected Content","Скрытый текст","Application",
"Caption","Log On","Вход в систему","ActionDesign\Actions\Logon",
"Caption","Actions Info","Информация о действиях","ActionDesign\Actions\Diagnostic Info.Actions Info\ChoiceActionItems\Actions Info",
"Caption","Create Dashboard","Создать панель","ActionDesign\Actions\CreateDashboard",
"Caption","Organize Dashboard","Редактировать панель","ActionDesign\Actions\OrganizeDashboard",
"Caption","Delete Item","Удалить элемент","ActionDesign\Actions\Delete Item",
"ConfirmationMessage","You are about to delete the selected item(s). Do you want to proceed?","Выбранные элементы будут удалены. Продолжить?","ActionDesign\Actions\Delete Item",
"Caption","Hide from dashboard","Скрыть с панели","ActionDesign\Actions\HideItemsFromDashboard",
"ToolTip","Hide selected item(s) from dashboard","Скрыть выделенные элементы с панели","ActionDesign\Actions\HideItemsFromDashboard",
"Caption","Show on dashboard","Показать на панели","ActionDesign\Actions\ShowItemsOnDashboard",
"ToolTip","Show selected item(s) on dashboard","Показать выделенные элементы на панели","ActionDesign\Actions\ShowItemsOnDashboard",
"Caption","Delete","Удалить","ActionDesign\Actions\Delete",
"ConfirmationMessage","You are about to delete the selected record(s). Do you want to proceed?","Вы собираетесь удалить выбранную запись (записи). Вы хотите продолжить?","ActionDesign\Actions\Delete",
"Caption","Save","Сохранить","ActionDesign\Actions\Save",
"Caption","Save and Close","Сохранить и закрыть","ActionDesign\Actions\SaveAndClose",
"Caption","Save and New","Сохранить и создать новый","ActionDesign\Actions\SaveAndNew",
"Caption","Cancel","Отменить","ActionDesign\Actions\Cancel",
"Caption","Diagnostic","Диагностика","ActionDesign\Actions\Diagnostic Info",
"Caption","OK","ОК","ActionDesign\Actions\DialogOK",
"Caption","Cancel","Отменить","ActionDesign\Actions\DialogCancel",
"Caption","Filter by Text","Фильтровать по тексту","ActionDesign\Actions\FullTextSearch",
"ShortCaption","Search","Вперед!","ActionDesign\Actions\FullTextSearch",
"NullValuePrompt","Text to search...","Поисковый запрос...","ActionDesign\Actions\FullTextSearch",
"ToolTip","Filter records by text","Фильтровать объекты по тексту","ActionDesign\Actions\FullTextSearch",
"Caption","Filter","Фильтр","ActionDesign\Actions\SetFilter",
"Caption","Unlink","Убрать","ActionDesign\Actions\Unlink",
"ConfirmationMessage","You are about to unlink the selected record(s). Do you want to proceed?","Вы собираетесь убрать выбранную запись (записи). Продолжить?","ActionDesign\Actions\Unlink",
"Caption","Link","Добавить","ActionDesign\Actions\Link",
"Caption","Open","Открыть","ActionDesign\Actions\ListViewShowObject",
"Caption","Log Off","Выход","ActionDesign\Actions\Logoff",
"Caption","New","Создать","ActionDesign\Actions\New",
"Caption","The edited object is new.","Отредактированный объект является новым.","ActionDesign\Actions\New\DisableReasons\MasterObjectIsNew",
"Caption","Previous Record","Предыдущий объект","ActionDesign\Actions\PreviousObject",
"Caption","Next Record","Следующий объект","ActionDesign\Actions\NextObject",
"Caption","Refresh","Обновить","ActionDesign\Actions\Refresh",
"Caption","Navigation","Навигация","ActionDesign\Actions\ShowNavigationItem",
"Caption","View Info","Информация о представлении","ActionDesign\Actions\Diagnostic Info.View Info\ChoiceActionItems\View Info",
"Caption","Back","Назад","ActionDesign\Actions\NavigateBack",
"ToolTip","Navigate to the previous view","Вернуться к предыдущему представлению","ActionDesign\Actions\NavigateBack",
"Caption","Forward","Вперед","ActionDesign\Actions\NavigateForward",
"ToolTip","Navigate to the next view","Перейти к следующему представлению","ActionDesign\Actions\NavigateForward",
"Caption","Requires at least one object selected","Требуется выбрать хотя бы один объект","ActionDesign\DisableReasons\ByContext_RequireMultipleObjects",
"Caption","Requires a single object selected","Требуется выбрать единственный объект","ActionDesign\DisableReasons\ByContext_RequireSingleObject",
"Caption","Permission denied","Доступ запрещен","ActionDesign\DisableReasons\Security",
"Caption","Criteria Provider","Поставщик критерия","BOModel\DevExpress.ExpressApp.Editors.CriteriaProvider",
"Caption","Filtered Objects Type","Тип фильтруемых объектов","BOModel\DevExpress.ExpressApp.Editors.CriteriaProvider\OwnMembers\FilteredObjectsType",
"Caption","Filter String","Строка фильтра","BOModel\DevExpress.ExpressApp.Editors.CriteriaProvider\OwnMembers\FilterString",
"Caption","About Info","О продукте","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo",
"Caption","Product Name","Наименование продукта","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo\OwnMembers\ProductName",
"Caption","Version","Версия","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo\OwnMembers\Version",
"Caption","Copyright","Авторское право","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo\OwnMembers\Copyright",
"Caption","Company","Компания","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo\OwnMembers\Company",
"Caption","Logo Image Name","Имя изображения с логотипом","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo\OwnMembers\LogoImageName",
"Caption","Description","Описание","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo\OwnMembers\Description",
"Caption","Action Container","Контейнер действий","BOModel\DevExpress.ExpressApp.SystemModule.ActionContainerDashboardOrganizationItem",
"Caption","Action Container","Контейнер действий","BOModel\DevExpress.ExpressApp.SystemModule.ActionContainerDashboardOrganizationItem\OwnMembers\ActionContainer",
"Caption","Action Containers","Контейнеры действий","BOModel\DevExpress.ExpressApp.SystemModule.ActionContainerDashboardOrganizationItem\OwnMembers\ActionContainers",
"Caption","Action Container Descriptor","Описание контейнера действий","BOModel\DevExpress.ExpressApp.SystemModule.ActionContainerDescriptor",
"Caption","Action Container Id","Идентификатор контейнера действий","BOModel\DevExpress.ExpressApp.SystemModule.ActionContainerDescriptor\OwnMembers\ActionContainerId",
"Caption","Dashboard Creation Wizard","Мастер создания панели","BOModel\DevExpress.ExpressApp.SystemModule.DashboardCreationInfo",
"Caption","Name","Название панели","BOModel\DevExpress.ExpressApp.SystemModule.DashboardCreationInfo\OwnMembers\DashboardName",
"Caption","Target Navigation Group","Создать элемент навигации в","BOModel\DevExpress.ExpressApp.SystemModule.DashboardCreationInfo\OwnMembers\NavigationGroupName",
"Caption","View Items","Элементы панели","BOModel\DevExpress.ExpressApp.SystemModule.DashboardCreationInfo\OwnMembers\ViewItems",
"Caption","Dashboard Organization Item","Элемент панели","BOModel\DevExpress.ExpressApp.SystemModule.DashboardOrganizationItem",
"Caption","Id","Идентификатор","BOModel\DevExpress.ExpressApp.SystemModule.DashboardOrganizationItem\OwnMembers\Id",
"Caption","Item","Элемент","BOModel\DevExpress.ExpressApp.SystemModule.DashboardOrganizationItem\OwnMembers\Item",
"Caption","Visibility","Видимость","BOModel\DevExpress.ExpressApp.SystemModule.DashboardOrganizationItem\OwnMembers\Visibility",
"Caption","Dashboard Organizer","Редактор панели","BOModel\DevExpress.ExpressApp.SystemModule.DashboardOrganizer",
"Caption","View Items","Элементы представления","BOModel\DevExpress.ExpressApp.SystemModule.DashboardOrganizer\OwnMembers\ViewItems",
"Caption","Dashboard View Item Descriptor","Дескриптор элемента панели","BOModel\DevExpress.ExpressApp.SystemModule.DashboardViewItemDescriptor",
"Caption","View Caption","Название представления","BOModel\DevExpress.ExpressApp.SystemModule.DashboardViewItemDescriptor\OwnMembers\ViewCaption",
"Caption","View Id","Идентификатор представления","BOModel\DevExpress.ExpressApp.SystemModule.DashboardViewItemDescriptor\OwnMembers\ViewId",
"Caption","View Description","Описание представления","BOModel\DevExpress.ExpressApp.SystemModule.DashboardViewItemDescriptor\OwnMembers\ViewDescription",
"Caption","Model View","Модель представления","BOModel\DevExpress.ExpressApp.SystemModule.DashboardViewItemDescriptor\OwnMembers\ModelView",
"Caption","Diagnostic Info Object","Диагностическая информация","BOModel\DevExpress.ExpressApp.SystemModule.DiagnosticInfoObject",
"Caption","As Text","Как текст","BOModel\DevExpress.ExpressApp.SystemModule.DiagnosticInfoObject\OwnMembers\AsText",
"Caption","Static Image","Статическое изображение","BOModel\DevExpress.ExpressApp.SystemModule.StaticImageDashboardOrganizationItem",
"Caption","Image Name","Имя изображения","BOModel\DevExpress.ExpressApp.SystemModule.StaticImageDashboardOrganizationItem\OwnMembers\ImageName",
"Caption","Preview","Предварительный просмотр","BOModel\DevExpress.ExpressApp.SystemModule.StaticImageDashboardOrganizationItem\OwnMembers\Preview",
"Caption","Static Text","Статический текст","BOModel\DevExpress.ExpressApp.SystemModule.StaticTextDashboardOrganizationItem",
"Caption","Text","Текст","BOModel\DevExpress.ExpressApp.SystemModule.StaticTextDashboardOrganizationItem\OwnMembers\Text",
"Caption","View","Представление","BOModel\DevExpress.ExpressApp.SystemModule.ViewDashboardOrganizationItem",
"Caption","Available Views","Доступные представления","BOModel\DevExpress.ExpressApp.SystemModule.ViewDashboardOrganizationItem\OwnMembers\AvailableViews",
"Caption","Object Type","Тип объекта","BOModel\DevExpress.ExpressApp.SystemModule.ViewDashboardOrganizationItem\OwnMembers\ObjectType",
"Caption","View","Представление","BOModel\DevExpress.ExpressApp.SystemModule.ViewDashboardOrganizationItem\OwnMembers\ViewDescriptor",
"Caption","Criteria","Критерий","BOModel\DevExpress.ExpressApp.SystemModule.ViewDashboardOrganizationItem\OwnMembers\Criteria",
"Caption","Actions Toolbar Visibility","Видимость панели инструментов","BOModel\DevExpress.ExpressApp.SystemModule.ViewDashboardOrganizationItem\OwnMembers\ActionsToolbarVisibility",
"Value","DashboardView","Панель","Localization\Captions\DashboardView",
"Value","DetailView","Детальное представление","Localization\Captions\DetailView",
"Value","(Child Window)","(Дочернее окно)","Localization\Captions\DiagnosticChildWindowAddition",
"Value","Edit Criteria","Редактировать критерий","Localization\Captions\EditCriteria",
"Value","ListView","Списочное представление","Localization\Captions\ListView",
"Value","View","Представление","Localization\Captions\View",
"Value","Application server was started using Remoting.","Сервер приложения запущен с использованием технологии Remoting.","Localization\Controls\ServerLog\ApplicationServerStartedRemoting",
"Value","Application server was started using WCF.","Сервер приложения запущен с использованием технологии WCF.","Localization\Controls\ServerLog\ApplicationServerStartedWcf",
"Value","Application server was stopped.","Сервер приложения остановлен.","Localization\Controls\ServerLog\AppServerStopped",
"Value","Cannot find method '{0}.{1}' while executing a function on the server.","Не получается найти метод {0}.{1} при выполнении функции на стороне сервера.","Localization\Controls\ServerLog\CannotFindMethod",
"Value","Cannot find type '{0}'.","Невозможно найти тип {0}.","Localization\Controls\ServerLog\CannotFindType",
"Value","Client info: Id={0}; {1}","Информация о клиенте: Идентификатор={0}; {1}","Localization\Controls\ServerLog\ClientInfoTemplate",
"Value","Dictionary: ","Словарь:","Localization\Controls\ServerLog\Dictionary",
"Value","Category: {0}\r\nCode: {1}\r\nText: {2}.","Категория: {0}\r\nКод: {1}\r\nТекст: {2}.","Localization\Controls\ServerLog\EmailBodyTemplate",
