"Property Name",,"vi-VN","Node Path","Description"
"VersionFormat","Version {0}.{1}.{2}","Phiên bản {0}.{1}.{2}","Application",
"ProtectedContentText","Protected Content","Nội dung được bảo vệ","Application",
"Caption","Log On","Đăng nhập","ActionDesign\Actions\Logon",
"Caption","Actions Info","Actions Info","ActionDesign\Actions\Diagnostic Info.Actions Info\ChoiceActionItems\Actions Info",
"Caption","Create Dashboard","Tạo Bảng tin","ActionDesign\Actions\CreateDashboard",
"Caption","Organize Dashboard","Tổ chức Bảng tin","ActionDesign\Actions\OrganizeDashboard",
"Caption","Delete Item","Xóa mục","ActionDesign\Actions\Delete Item",
"ConfirmationMessage","You are about to delete the selected item(s). Do you want to proceed?","Bạn sắp xóa (các) mục được chọn. Bạn có muốn tiếp tục?","ActionDesign\Actions\Delete Item",
"Caption","Hide from dashboard","Ẩn từ bảng tin","ActionDesign\Actions\HideItemsFromDashboard",
"ToolTip","Hide selected item(s) from dashboard","Ẩn (các) mục được chọn từ bảng tin","ActionDesign\Actions\HideItemsFromDashboard",
"Caption","Show on dashboard","Hiển thị trên bảng tin","ActionDesign\Actions\ShowItemsOnDashboard",
"ToolTip","Show selected item(s) on dashboard","Hiển thị (các) mục được chọn trên bảng tin","ActionDesign\Actions\ShowItemsOnDashboard",
"Caption","Delete","Xóa","ActionDesign\Actions\Delete",
"ConfirmationMessage","You are about to delete the selected record(s). Do you want to proceed?","Bạn sắp xóa (các) mục được chọn. Bạn có muốn tiếp tục?","ActionDesign\Actions\Delete",
"Caption","Save","Ghi","ActionDesign\Actions\Save",
"Caption","Save and Close","Ghi và Đóng","ActionDesign\Actions\SaveAndClose",
"Caption","Save and New","Ghi và Mới","ActionDesign\Actions\SaveAndNew",
"Caption","Cancel","Hủy","ActionDesign\Actions\Cancel",
"Caption","Diagnostic","Chuẩn đoán","ActionDesign\Actions\Diagnostic Info",
"Caption","OK","Nhận","ActionDesign\Actions\DialogOK",
"Caption","Cancel","Hủy","ActionDesign\Actions\DialogCancel",
"Caption","Filter by Text","Lọc theo Văn bản","ActionDesign\Actions\FullTextSearch",
"ShortCaption","Search","Tìm","ActionDesign\Actions\FullTextSearch",
"NullValuePrompt","Text to search...","Text to search...","ActionDesign\Actions\FullTextSearch",
"ToolTip","Filter records by text","Lọc Đối tượng bằng Văn bản","ActionDesign\Actions\FullTextSearch",
"Caption","Filter","Lọc","ActionDesign\Actions\SetFilter",
"Caption","Unlink","Bỏ liên kết","ActionDesign\Actions\Unlink",
"ConfirmationMessage","You are about to unlink the selected record(s). Do you want to proceed?","Bạn sắp bỏ liên kết (các) bản ghi được chọn. Bạn có muốn tiếp tục?","ActionDesign\Actions\Unlink",
"Caption","Link","Liên kết","ActionDesign\Actions\Link",
"Caption","Open","Mở","ActionDesign\Actions\ListViewShowObject",
"Caption","Log Off","Đăng xuất","ActionDesign\Actions\Logoff",
"Caption","New","Mới","ActionDesign\Actions\New",
"Caption","The edited object is new.","Đối tượng được sửa là mới.","ActionDesign\Actions\New\DisableReasons\MasterObjectIsNew",
"Caption","Previous Record","Trước","ActionDesign\Actions\PreviousObject",
"Caption","Next Record","Tiếp","ActionDesign\Actions\NextObject",
"Caption","Refresh","Làm mới","ActionDesign\Actions\Refresh",
"Caption","Navigation","Điều hướng","ActionDesign\Actions\ShowNavigationItem",
"Caption","View Info","View Info","ActionDesign\Actions\Diagnostic Info.View Info\ChoiceActionItems\View Info",
"Caption","Back","Sau","ActionDesign\Actions\NavigateBack",
"ToolTip","Navigate to the previous view","Điều hướng đến view trước đó","ActionDesign\Actions\NavigateBack",
"Caption","Forward","Trước","ActionDesign\Actions\NavigateForward",
"ToolTip","Navigate to the next view","Điều hướng đến view tiếp theo","ActionDesign\Actions\NavigateForward",
"Caption","Requires at least one object selected","Yêu cầu ít nhất một đối tượng được chọn","ActionDesign\DisableReasons\ByContext_RequireMultipleObjects",
"Caption","Requires a single object selected","Yêu cầu một đối tượng đơn được chọn","ActionDesign\DisableReasons\ByContext_RequireSingleObject",
"Caption","Permission denied","Quyền bị từ chối","ActionDesign\DisableReasons\Security",
"Caption","Criteria Provider","Criteria Provider","BOModel\DevExpress.ExpressApp.Editors.CriteriaProvider",
"Caption","Filtered Objects Type","Kiểu các đối tượng được lọc","BOModel\DevExpress.ExpressApp.Editors.CriteriaProvider\OwnMembers\FilteredObjectsType",
"Caption","Filter String","Chuỗi Lọc","BOModel\DevExpress.ExpressApp.Editors.CriteriaProvider\OwnMembers\FilterString",
"Caption","About Info","Thông tin về","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo",
"Caption","Product Name","Tên Sản phẩm","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo\OwnMembers\ProductName",
"Caption","Version","Phiên bản","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo\OwnMembers\Version",
"Caption","Copyright","Bản quyền","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo\OwnMembers\Copyright",
"Caption","Company","Công ty","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo\OwnMembers\Company",
"Caption","Logo Image Name","Tên ảnh Logo","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo\OwnMembers\LogoImageName",
"Caption","Description","Mô tả","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo\OwnMembers\Description",
"Caption","Action Container","Action Container","BOModel\DevExpress.ExpressApp.SystemModule.ActionContainerDashboardOrganizationItem",
"Caption","Action Container","Action Container","BOModel\DevExpress.ExpressApp.SystemModule.ActionContainerDashboardOrganizationItem\OwnMembers\ActionContainer",
"Caption","Action Containers","Action Containers","BOModel\DevExpress.ExpressApp.SystemModule.ActionContainerDashboardOrganizationItem\OwnMembers\ActionContainers",
"Caption","Action Container Descriptor","Action Container Descriptor","BOModel\DevExpress.ExpressApp.SystemModule.ActionContainerDescriptor",
"Caption","Action Container Id","Action Container Id","BOModel\DevExpress.ExpressApp.SystemModule.ActionContainerDescriptor\OwnMembers\ActionContainerId",
"Caption","Dashboard Creation Wizard","Thuật sĩ tạo Bảng tin","BOModel\DevExpress.ExpressApp.SystemModule.DashboardCreationInfo",
"Caption","Name","Tên","BOModel\DevExpress.ExpressApp.SystemModule.DashboardCreationInfo\OwnMembers\DashboardName",
"Caption","Target Navigation Group","Tạo một mục điều hướng trong","BOModel\DevExpress.ExpressApp.SystemModule.DashboardCreationInfo\OwnMembers\NavigationGroupName",
"Caption","View Items","View Items","BOModel\DevExpress.ExpressApp.SystemModule.DashboardCreationInfo\OwnMembers\ViewItems",
"Caption","Dashboard Organization Item","Mục tổ chức Bảng tin","BOModel\DevExpress.ExpressApp.SystemModule.DashboardOrganizationItem",
"Caption","Id","Id","BOModel\DevExpress.ExpressApp.SystemModule.DashboardOrganizationItem\OwnMembers\Id",
"Caption","Item","Mục","BOModel\DevExpress.ExpressApp.SystemModule.DashboardOrganizationItem\OwnMembers\Item",
"Caption","Visibility","Visibility","BOModel\DevExpress.ExpressApp.SystemModule.DashboardOrganizationItem\OwnMembers\Visibility",
"Caption","Dashboard Organizer","Bố trí Bảng tin","BOModel\DevExpress.ExpressApp.SystemModule.DashboardOrganizer",
"Caption","View Items","Các mục View","BOModel\DevExpress.ExpressApp.SystemModule.DashboardOrganizer\OwnMembers\ViewItems",
"Caption","Dashboard View Item Descriptor","Mô tả mục hiển thị trên bảng tin","BOModel\DevExpress.ExpressApp.SystemModule.DashboardViewItemDescriptor",
"Caption","View Caption","Tiêu đề View","BOModel\DevExpress.ExpressApp.SystemModule.DashboardViewItemDescriptor\OwnMembers\ViewCaption",
"Caption","View Id","Id của View","BOModel\DevExpress.ExpressApp.SystemModule.DashboardViewItemDescriptor\OwnMembers\ViewId",
"Caption","View Description","Mô tả View","BOModel\DevExpress.ExpressApp.SystemModule.DashboardViewItemDescriptor\OwnMembers\ViewDescription",
"Caption","Model View","Model View","BOModel\DevExpress.ExpressApp.SystemModule.DashboardViewItemDescriptor\OwnMembers\ModelView",
